epoch,alpha,beta,gamma,L_cls,L_mmd,L_disc,L_lsd,total_loss
1,0.024994792968420665,0.00024994792968420666,-0.9750052070315793,0.5690152290566214,0.03692322744634645,0.20229137046583767,-0.004980352599824104,0.5748445473868271
2,0.049958374957880025,0.0004995837495788002,-0.95004162504212,0.4329996571458619,0.028688651059978997,0.2975581683989229,5.6188773606695107e-05,0.43452816893314494
3,0.0748596906874992,0.000748596906874992,-0.9251403093125008,0.37031386278826617,0.027213753650671448,0.34739705971602736,0.00036200436744397377,0.3722762316465378
4,0.0996679946249559,0.000996679946249559,-0.9003320053750441,0.32952041667083215,0.02724520412498507,0.37228974494440803,-0.0006355020665570669,0.33317910802775413
5,0.12435300177159614,0.0012435300177159614,-0.8756469982284039,0.29825662076473236,0.024917630832000024,0.38897129379469775,0.0016663218527261552,0.30037979165027884
6,0.14888503362331806,0.0014888503362331807,-0.8511149663766819,0.2737155430789652,0.024969603962682444,0.40087720803145704,0.0009494765966745286,0.2772218746871784
7,0.17323515783466026,0.0017323515783466026,-0.8267648421653397,0.2558745140659398,0.024993370287120342,0.410300107865498,0.00014299601125771757,0.2607968071925229
8,0.197375320224904,0.00197375320224904,-0.802624679775096,0.23267665376950955,0.024636698565606414,0.41823482256511163,0.00358306932421642,0.23548896096903701
9,0.22127846789844408,0.002212784678984441,-0.7787215321015559,0.22504303707131024,0.02375374676595474,0.42222745922105065,0.0015732795799177155,0.2300083801664155
10,0.2449186624037092,0.002449186624037092,-0.7550813375962908,0.20988364594763723,0.023460595483153032,0.42798253688318977,0.00452171882553275,0.21326352655887604
11,0.2682711820216015,0.002682711820216015,-0.7317288179783985,0.198074781432234,0.02341285380053109,0.4325659706674773,0.003295034732908444,0.20310515370862237
12,0.2913126124515908,0.002913126124515908,-0.7086873875484092,0.19056728636396342,0.02312773957463174,0.4366180567905821,0.0009449687525469424,0.19790692447588362
13,0.31402092534699766,0.0031402092534699765,-0.6859790746530023,0.17400957130152603,0.022410248502575118,0.44192009958727607,0.00579602190668209,0.1784586307817492
14,0.3363755443363323,0.003363755443363323,-0.6636244556636677,0.16809507562168713,0.022356929514428664,0.4445967484137108,0.0028688867714977122,0.17520705302213802
15,0.35835739835078595,0.0035835739835078594,-0.641642601649214,0.16200789372468816,0.022503797414487804,0.4486200973905366,0.0034810737638979153,0.16944635453922996
16,0.379948962255225,0.0037994896225522503,-0.620051037744775,0.151321138415871,0.02221435125403363,0.45196319705453414,0.009618981251119764,0.15551442922703151
17,0.401134284947946,0.00401134284947946,-0.598865715052054,0.14982686962546973,0.022577704380041565,0.454747565861406,0.00372314686858866,0.15847804320269618
18,0.4218990052500078,0.004218990052500078,-0.5781009947499922,0.14479117712070202,0.022104673280284322,0.456758417959871,0.005871904594924076,0.1526496224105358
19,0.44223035604572614,0.004422303560457261,-0.5577696439542739,0.13373121567841234,0.021836743561615204,0.4602879301227372,0.0059556949719112235,0.1421017143233069
20,0.4621171572600098,0.004621171572600098,-0.5378828427399902,0.12856744782164178,0.021628528415899854,0.4628474023835412,0.007745141930956442,0.1365352789389676
