target_id,threshold,n_sources_selected,test_accuracy
1,0.04270625,22,63.0306286942504
2,0.02158557,3,53.41214400859753
3,0.02158557,3,58.4631918323482
4,0.02158557,12,59.64535196131112
5,0.028625797,13,42.77270284793122
6,0.026279055,14,48.14615797958087
7,0.03097254,7,47.82375067168189
8,0.02158557,5,47.93121977431489
9,0.02158557,5,40.19344438473939
10,0.026279055,6,61.5260612573885
11,0.02158557,9,58.51692638366469
12,0.026279055,10,48.52229983879634
13,0.028625797,16,53.8420204191295
14,0.03331928,14,65.82482536270821
15,0.03331928,11,40.73078989790435
16,0.028625797,13,44.16980118216013
17,0.03097254,10,58.08704997313272
18,0.03097254,6,47.44760881246642
19,0.028625797,3,32.77807630306287
20,0.04035951,16,57.925846319183236
21,0.028625797,14,42.12788823213326
22,0.023932314,3,48.25362708221386
23,0.026279055,3,69.263836646964
