target_id,threshold,n_sources_selected,test_accuracy
1,0.02158557,8,55.61526061257388
2,0.023932314,4,69.31757119828049
3,0.023932314,3,49.274583557227295
4,0.04035951,22,75.28210639441161
5,0.038012765,17,61.740999462654486
6,0.038012765,20,54.59430413756046
7,0.02158557,3,66.46963997850618
8,0.028625797,13,64.96507254164428
9,0.026279055,11,56.63621708758731
10,0.038012765,16,38.20526598602902
11,0.026279055,16,64.5351961311123
12,0.023932314,7,45.83557227297152
13,0.038012765,20,43.95486297689414
14,0.04270625,18,56.79742074153681
15,0.04270625,19,63.24556689951639
16,0.038012765,19,62.65448683503493
17,0.04270625,22,59.26921010209565
18,0.04270625,16,65.18001074691027
19,0.023932314,3,47.39387426114992
20,0.04035951,16,61.25738850080602
21,0.038012765,20,63.29930145083289
22,0.038012765,5,62.708221386351426
23,0.03331928,7,55.561526061257396
